"id","category","difficulty","prompt","correct_answer","original_answer_a","original_answer_b","original_answer_c","original_answer_d","proposed_answer_a","proposed_answer_b","proposed_answer_c","proposed_answer_d","changed_distractor_count","original_answer_lengths","proposed_answer_lengths","original_correct_length_rank","proposed_correct_length_rank","tier_original_pick_longest_rate","tier_proposed_pick_longest_rate","tier_largest_remaining_length_rank_signal","scope_rule","review_status","review_note"
"food-hard-26","Food & Drink","Hard","What is 'charcuterie' traditionally?","Prepared and preserved meat products","Prepared and preserved meat products","A cheese board","A bread selection","A vegetable terrine","Prepared and preserved meat products","An arranged selection of cheeses served with small accompaniments","An assortment of breads, rolls, and crackers presented together","A vegetable terrine","2","36/14/17/19","36/65/63/19","4 (longest)","2 of 4 (shortest to longest)","85.0%","25.0%","25.0%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-hard-27","Food & Drink","Hard","What is 'hydration' in bread baking expressed as?","Water weight as a percentage of flour weight","Water weight as a percentage of flour weight","Total dough weight","Yeast quantity","Baking time","Water weight as a percentage of flour weight","The mass of the completed dough including flour, water, salt, and yeast","The amount of yeast calculated as a percentage of the flour weight","The total oven time calculated in relation to the finished loaf weight","3","44/18/14/11","44/71/66/70","4 (longest)","1 of 4 (shortest to longest)","85.0%","25.0%","25.0%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-hard-28","Food & Drink","Hard","What is 'lees' in winemaking?","Sediment of dead yeast and grape solids","Sediment of dead yeast and grape solids","Grape skins","Barrel char","Bottle sediment only","Sediment of dead yeast and grape solids","The grape skins left after the pressed juice has been separated","The toasted interior surface of an oak barrel used for ageing wine","Bottle sediment only","2","39/11/11/20","39/63/66/20","4 (longest)","2 of 4 (shortest to longest)","85.0%","25.0%","25.0%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-hard-29","Food & Drink","Hard","What is 'the smoke point' of an oil?","The temperature at which it begins to break down and smoke","The temperature at which it begins to break down and smoke","Its freezing point","Its flavour peak","Its shelf life","The temperature at which it begins to break down and smoke","The temperature at which a liquid cooking oil becomes solid","The point at which heating makes an oil's flavour most pronounced","The expected storage time before the oil develops a rancid flavour","3","58/18/16/14","58/59/65/66","4 (longest)","1 of 4 (shortest to longest)","85.0%","25.0%","25.0%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-hard-3","Food & Drink","Hard","What does 'terroir' refer to?","The environmental factors shaping a food's character","The environmental factors shaping a food's character","A wine barrel type","A French cheese","A cooking vessel","The environmental factors shaping a food's character","The barrel specification traditionally used to age a particular wine","A regional French cheese produced from a protected source of milk","An earthenware vessel traditionally used for slow braises and stews","3","52/18/15/16","52/68/65/67","4 (longest)","1 of 4 (shortest to longest)","85.0%","25.0%","25.0%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-hard-30","Food & Drink","Hard","What is 'fond' in a pan after searing?","The browned residue used to build a sauce","The browned residue used to build a sauce","Excess fat","Burnt oil to discard","A type of stock","The browned residue used to build a sauce","The rendered fat released from food and collected in the bottom of a pan","Overheated oil that has developed burnt flavours and must be discarded","A concentrated liquid prepared by simmering bones and aromatics","3","41/10/20/15","41/72/70/63","4 (longest)","1 of 4 (shortest to longest)","85.0%","25.0%","25.0%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-hard-33","Food & Drink","Hard","What is beurre manié?","Equal parts soft butter and flour kneaded into a paste","Equal parts soft butter and flour kneaded into a paste","Butter browned until nutty","Butter clarified over low heat","Butter whipped with herbs","Equal parts soft butter and flour kneaded into a paste","Butter cooked until its milk solids turn brown and smell nutty","Butter clarified over low heat","Butter beaten together with chopped herbs, spices, and seasoning","2","54/26/30/25","54/62/30/64","4 (longest)","2 of 4 (shortest to longest)","85.0%","25.0%","25.0%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-hard-35","Food & Drink","Hard","What is an autolyse in bread making?","A rest after mixing flour and water before further kneading","A rest after mixing flour and water before further kneading","The final rise after shaping","Cooling bread before slicing","Adding steam during baking","A rest after mixing flour and water before further kneading","The final fermentation undergone by shaped dough before it enters the oven","The period in which a freshly baked loaf cools before it can be sliced","The addition of steam to an oven to help form a thin, crisp crust","3","59/28/28/26","59/74/70/65","4 (longest)","1 of 4 (shortest to longest)","85.0%","25.0%","25.0%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-hard-4","Food & Drink","Hard","What is 'koji' and what is it used for?","A mould used to ferment sake, miso, and soy sauce","A mould used to ferment sake, miso, and soy sauce","A Japanese knife","A seaweed","A rice variety","A mould used to ferment sake, miso, and soy sauce","A Japanese single-bevel knife designed for slicing raw seafood","A dried seaweed used to season broths and wrap portions of rice","A short-grain rice variety traditionally reserved for brewing sake","3","49/16/9/14","49/62/63/66","4 (longest)","1 of 4 (shortest to longest)","85.0%","25.0%","25.0%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-hard-40","Food & Drink","Hard","What is dextrinization?","Breaking starch into shorter chains with dry heat","Breaking starch into shorter chains with dry heat","Fermenting sugar into alcohol","Coagulating milk with acid","Whipping fat and sugar together","Breaking starch into shorter chains with dry heat","Fermenting sugar into alcohol","Coagulating milk with acid","Air incorporated by beating solid fat with crystalline sugar","1","49/29/26/31","49/29/26/60","4 (longest)","3 of 4 (shortest to longest)","85.0%","25.0%","25.0%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-hard-6","Food & Drink","Hard","What is 'gluten' formed from?","Glutenin and gliadin proteins hydrated and worked","Glutenin and gliadin proteins hydrated and worked","Starch and water","Fat and flour","Sugar and yeast","Glutenin and gliadin proteins hydrated and worked","Starch and water","Fat coating particles of flour before any liquid is introduced","Yeast consuming sugar and releasing carbon dioxide throughout the dough","2","49/16/13/15","49/16/62/71","4 (longest)","2 of 4 (shortest to longest)","85.0%","25.0%","25.0%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-hard-7","Food & Drink","Hard","What does 'AOC' or 'AOP' certification indicate in France?","A protected designation tied to origin and method","A protected designation tied to origin and method","A quality score","An organic label","A restaurant rating","A protected designation tied to origin and method","A numerical panel score reflecting the overall sensory quality of a product","A certification that ingredients were grown without prohibited chemicals","A restaurant rating","2","49/15/16/19","49/75/72/19","4 (longest)","2 of 4 (shortest to longest)","85.0%","25.0%","25.0%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-hard-8","Food & Drink","Hard","What is 'nixtamalization'?","Treating maize with an alkaline solution","Treating maize with an alkaline solution","Fermenting rice","Smoking chillies","Drying tomatoes","Treating maize with an alkaline solution","Fermenting rice","Smoking chillies","Dehydrating tomatoes slowly in sunlight or a low-temperature oven","1","40/15/16/15","40/15/16/65","4 (longest)","3 of 4 (shortest to longest)","85.0%","25.0%","25.0%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-medium-13","Food & Drink","Medium","What is 'clarified butter'?","Butter with milk solids and water removed","Butter with milk solids and water removed","Whipped butter","Salted butter","Cultured butter","Butter with milk solids and water removed","Butter aerated by beating until it becomes soft and light","Salted butter","Butter inoculated with lactic bacteria before it is churned","2","41/14/13/15","41/57/13/59","4 (longest)","2 of 4 (shortest to longest)","62.1%","32.1%","32.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-medium-15","Food & Drink","Medium","What is the Maillard reaction responsible for?","Browning and savoury flavour development","Browning and savoury flavour development","Fermentation","Curdling","Emulsification","Browning and savoury flavour development","Microbes converting sugars into acids, alcohol, or gas","Curdling","Emulsification","1","40/12/8/14","40/54/8/14","4 (longest)","3 of 4 (shortest to longest)","62.1%","32.1%","32.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-medium-17","Food & Drink","Medium","What is 'tempering' chocolate for?","Producing a glossy finish and clean snap","Producing a glossy finish and clean snap","Making it sweeter","Melting it faster","Removing cocoa butter","Producing a glossy finish and clean snap","Increasing the sugar content by blending in syrup or sweetener","Melting it faster","Extracting most of the cocoa butter from the chocolate mixture","2","40/17/17/21","40/62/17/62","4 (longest)","2 of 4 (shortest to longest)","62.1%","32.1%","32.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-medium-19","Food & Drink","Medium","What is an emulsion in cooking?","One normally immiscible liquid dispersed in another","One normally immiscible liquid dispersed in another","A thickened stock","A dry spice rub","A fermented paste","One normally immiscible liquid dispersed in another","A stock thickened with starch or gelatin until it coats a spoon","Powdered spices and salt rubbed onto food before it is cooked","A fermented paste","2","51/17/15/17","51/63/61/17","4 (longest)","2 of 4 (shortest to longest)","62.1%","32.1%","32.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-medium-21","Food & Drink","Medium","What does 'blanching' involve?","Brief boiling followed by an ice bath","Brief boiling followed by an ice bath","Slow roasting","Deep frying","Curing in salt","Brief boiling followed by an ice bath","Cooking food for a long period with dry heat in an uncovered oven","Submerging food in hot fat until its outer surface becomes crisp","Curing in salt","2","37/13/11/14","37/65/64/14","4 (longest)","2 of 4 (shortest to longest)","62.1%","32.1%","32.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-medium-25","Food & Drink","Medium","What is 'sous vide' cooking?","Sealing food and cooking it in precisely controlled water","Sealing food and cooking it in precisely controlled water","Cooking over an open flame","Steaming in bamboo","Slow smoking","Sealing food and cooking it in precisely controlled water","Cooking over an open flame","Steaming in bamboo","Exposing food to cool wood smoke over a period of several hours","1","57/26/18/12","57/26/18/63","4 (longest)","3 of 4 (shortest to longest)","62.1%","32.1%","32.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-medium-29","Food & Drink","Medium","What is 'curing' meat with salt intended to do?","Preserve it by drawing out moisture","Preserve it by drawing out moisture","Add sweetness","Tenderise it only","Increase fat content","Preserve it by drawing out moisture","Sweetening the meat's surface by applying a sugar-based glaze","Softening muscle fibres without materially extending storage life","Increase fat content","2","35/13/17/20","35/61/65/20","4 (longest)","2 of 4 (shortest to longest)","62.1%","32.1%","32.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-medium-37","Food & Drink","Medium","What forms the base of a classic beurre blanc sauce?","Butter whisked into a reduced acidic liquid","Butter whisked into a reduced acidic liquid","Tomatoes simmered with stock","Egg yolks blended with oil","Milk thickened with flour","Butter whisked into a reduced acidic liquid","Tomatoes simmered with stock and aromatics until reduced","Egg yolks blended slowly with oil to create an emulsion","Milk cooked with a butter-and-flour roux until thickened","3","43/28/26/25","43/56/55/56","4 (longest)","1 of 4 (shortest to longest)","62.1%","32.1%","32.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-medium-38","Food & Drink","Medium","What is masa harina?","Flour made from dried nixtamalized corn","Flour made from dried nixtamalized corn","Coarsely ground rice","Roasted chickpea flour","Raw wheat bran","Flour made from dried nixtamalized corn","Coarsely ground rice","Roasted chickpea flour","The outer bran layer milled from uncooked wheat kernels","1","39/20/22/14","39/20/22/55","4 (longest)","3 of 4 (shortest to longest)","62.1%","32.1%","32.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-medium-39","Food & Drink","Medium","What is aquafaba?","The cooking liquid from chickpeas or other legumes","The cooking liquid from chickpeas or other legumes","Saltwater used to cure fish","Clarified butter","Fermented rice vinegar","The cooking liquid from chickpeas or other legumes","Concentrated saltwater used to preserve fish before smoking","Clarified butter","Fermented rice vinegar","1","50/27/16/22","50/59/16/22","4 (longest)","3 of 4 (shortest to longest)","62.1%","32.1%","32.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-medium-5","Food & Drink","Medium","What is 'mise en place'?","Preparing and arranging ingredients before cooking","Preparing and arranging ingredients before cooking","Plating a dish","A French sauce","A cut of beef","Preparing and arranging ingredients before cooking","Arranging finished components decoratively on a serving plate","A French sauce","A named portion cut from a particular section of a beef carcass","2","50/14/14/13","50/61/14/63","4 (longest)","2 of 4 (shortest to longest)","62.1%","32.1%","32.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"food-medium-7","Food & Drink","Medium","In classical culinary usage, how do stock and broth usually differ?","Stock emphasizes bones; broth emphasizes meat","Stock emphasizes bones; broth emphasizes meat","Broth is always thicker","Stock is always vegetarian","Broth is never seasoned","Stock emphasizes bones; broth emphasizes meat","Broth is always thickened with starch, while stock is left unthickened","Stock is made exclusively from vegetables, while broth always uses meat","Broth is never seasoned during cooking, while stock is heavily salted","3","45/23/26/23","45/70/71/69","4 (longest)","1 of 4 (shortest to longest)","62.1%","32.1%","32.1%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-easy-32","Football","Easy","What is the usual purpose of a punt?","To give up possession while moving the opponent farther from the goal","To give up possession while moving the opponent farther from the goal","To score three points","To restart after a touchdown","To earn a new set of downs automatically","To give up possession while moving the opponent farther from the goal","To attempt a field goal worth three points from the current line of scrimmage","To place the ball back in play after a touchdown without using a kickoff","To receive an automatic first down while continuing to possess the ball","3","69/21/28/40","69/77/72/71","4 (longest)","1 of 4 (shortest to longest)","47.3%","37.3%","37.3%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-easy-34","Football","Easy","What is a huddle?","A brief gathering where players receive the play call","A brief gathering where players receive the play call","A pile formed after every tackle","The officials' replay review","A celebration after a score","A brief gathering where players receive the play call","A pile formed after every tackle","The officials' replay review","A coordinated end-zone celebration performed after a team scores","1","53/32/28/27","53/32/28/64","4 (longest)","3 of 4 (shortest to longest)","47.3%","37.3%","37.3%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-easy-37","Football","Easy","What does a kick returner try to do?","Advance a kickoff or punt after receiving it","Advance a kickoff or punt after receiving it","Snap the ball on field goals","Block only the placekicker","Hold the ball for a punt","Advance a kickoff or punt after receiving it","Deliver the snap accurately to the holder during a field-goal attempt","Prevent only the opposing placekicker from reaching a loose football","Catch the long snap and hold the football steady for the team's punter","3","44/28/26/24","44/69/68/70","4 (longest)","1 of 4 (shortest to longest)","47.3%","37.3%","37.3%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-easy-40","Football","Easy","What is a handoff?","Transferring the ball directly from one teammate to another","Transferring the ball directly from one teammate to another","Throwing beyond the line of scrimmage","Kicking the ball after a score","Snapping to the punter","Transferring the ball directly from one teammate to another","Throwing a forward pass after crossing the line of scrimmage","Kicking the ball to the opponent after the offense scores a touchdown","Snapping the ball directly from the centre to the team's punter","3","59/37/30/22","59/60/69/63","4 (longest)","1 of 4 (shortest to longest)","47.3%","37.3%","37.3%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-hard-10","Football","Hard","What is 'intentional grounding'?","Throwing away a pass under pressure with no eligible receiver nearby","Spiking to stop the clock","Throwing away a pass under pressure with no eligible receiver nearby","Kneeling to end a game","A blocked field goal","Throwing the ball directly into the ground after the snap to stop the clock","Throwing away a pass under pressure with no eligible receiver nearby","Kneeling to end a game","A blocked field goal","1","25/68/22/20","75/68/22/20","4 (longest)","3 of 4 (shortest to longest)","63.7%","31.2%","31.2%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-hard-18","Football","Hard","What is a 'chip block'?","A block by a back or tight end before releasing into a route","A block by a back or tight end before releasing into a route","A block below the waist","A block on special teams","An illegal block from behind","A block by a back or tight end before releasing into a route","A block below the waist","A block on special teams","Striking an opponent from behind above the level of the waist","1","60/23/24/28","60/23/24/61","4 (longest)","3 of 4 (shortest to longest)","63.7%","31.2%","31.2%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-hard-2","Football","Hard","What is the 'tuck rule' historically associated with?","Whether a quarterback's motion is a pass or a fumble","Kickoff placement","Whether a quarterback's motion is a pass or a fumble","Helmet fitting","Uniform length","Kickoff placement","Whether a quarterback's motion is a pass or a fumble","Helmet fitting","The regulations controlling the dimensions of numbers on a uniform","1","17/52/14/14","17/52/14/66","4 (longest)","3 of 4 (shortest to longest)","63.7%","31.2%","31.2%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-hard-21","Football","Hard","What is the 'franchise tag'?","A one-year contract designation for a pending free agent","A jersey patch","A one-year contract designation for a pending free agent","A stadium naming right","A draft pick trade","A commemorative patch displaying the club's logo on every jersey","A one-year contract designation for a pending free agent","A sponsorship agreement granting a company the naming rights to a stadium","A transaction exchanging a future draft selection for a current player","3","14/56/22/18","64/56/73/70","4 (longest)","1 of 4 (shortest to longest)","63.7%","31.2%","31.2%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-hard-22","Football","Hard","What is 'Cover 0'?","Man coverage with no deep safety help","Man coverage with no deep safety help","A prevent defense","A goal-line stand","A zone blitz","Man coverage with no deep safety help","A deep zone alignment designed to prevent a late long completion","A goal-line stand","A zone coverage combined with an unexpected rush by a linebacker","2","37/17/17/12","37/64/17/64","4 (longest)","2 of 4 (shortest to longest)","63.7%","31.2%","31.2%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-hard-27","Football","Hard","What is 'the Immaculate Reception' remembered as?","A famous deflected catch by Franco Harris","A famous deflected catch by Franco Harris","A record punt return","A blocked field goal","A last-second safety","A famous deflected catch by Franco Harris","A record punt return","A special-teams play that blocked a potential game-winning field goal","A safety scored on the final play to decide a championship game","2","41/20/20/20","41/20/69/63","4 (longest)","2 of 4 (shortest to longest)","63.7%","31.2%","31.2%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-hard-29","Football","Hard","What is a football 'Hail Mary' named for?","A prayer, describing a desperate long pass","A prayer, describing a desperate long pass","A coach named Mary","A stadium in Texas","The Marist College offense","A prayer, describing a desperate long pass","A former coach named Mary who was believed to have popularized the play","A Texas stadium where desperate long passes were first attempted","The Marist College offense","2","42/18/18/26","42/71/64/26","4 (longest)","2 of 4 (shortest to longest)","63.7%","31.2%","31.2%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-hard-31","Football","Hard","Where does the quarterback align in a pistol formation?","A few yards behind centre with a running back directly behind","A few yards behind centre with a running back directly behind","Under centre with two backs beside them","At wide receiver","Seven yards deep with no back behind","A few yards behind centre with a running back directly behind","Directly under centre with one running back aligned on either side","At wide receiver while another offensive player receives the snap","Seven yards behind centre with no running back anywhere behind","3","61/39/16/36","61/66/65/62","4 (longest)","1 of 4 (shortest to longest)","63.7%","31.2%","31.2%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-hard-34","Football","Hard","What is the core of the passing concept called 'mesh'?","Two shallow crossing routes that pass close together","Two shallow crossing routes that pass close together","Four vertical routes","A running back screen","A fade route paired with a slant","Two shallow crossing routes that pass close together","Four receivers running vertically to stretch every deep defender","A running back screen","A fade route paired with a slant","1","52/20/21/32","52/64/21/32","4 (longest)","3 of 4 (shortest to longest)","63.7%","31.2%","31.2%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-hard-35","Football","Hard","What distinguishes Tampa 2 from a basic Cover 2 zone?","The middle linebacker carries deep down the centre","The middle linebacker carries deep down the centre","Both cornerbacks blitz","Only one safety plays deep","Every defender uses man coverage","The middle linebacker carries deep down the centre","Both outside cornerbacks rushing the passer from opposite edges","One safety rotating to the deep middle while the other moves underneath","Every eligible receiver being covered by one assigned defender","3","50/22/26/32","50/63/71/62","4 (longest)","1 of 4 (shortest to longest)","63.7%","31.2%","31.2%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-hard-37","Football","Hard","What is a trap block designed to do?","Let a defender penetrate before a blocker strikes from the side","Let a defender penetrate before a blocker strikes from the side","Hold two defenders at once","Block only defensive backs","Seal the sideline on a punt","Let a defender penetrate before a blocker strikes from the side","Hold two defenders at once","Block only defensive backs","A coverage player being directed toward the sideline during a punt","1","63/26/26/27","63/26/26/66","4 (longest)","3 of 4 (shortest to longest)","63.7%","31.2%","31.2%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-hard-39","Football","Hard","What is a pooch punt?","A deliberately short, high punt intended to limit a return","A deliberately short, high punt intended to limit a return","A punt kicked after crossing the line","A punt returned for a touchdown","A low kickoff along the ground","A deliberately short, high punt intended to limit a return","A punt kicked after crossing the line","A punt returned for a touchdown","A low, bouncing kickoff deliberately driven along the surface of the field","1","58/37/31/30","58/37/31/74","4 (longest)","3 of 4 (shortest to longest)","63.7%","31.2%","31.2%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-hard-5","Football","Hard","What is an 'illegal formation' penalty usually caused by?","Too few players on the line of scrimmage","Too few players on the line of scrimmage","A late snap","An uncovered kicker","A missed huddle","Too few players on the line of scrimmage","The offense failing to begin the snap before the play clock reaches zero","An eligible receiver entering without first reporting an unusual jersey number","The offense leaving its huddle with twelve players still on the field","3","40/11/19/15","40/72/78/69","4 (longest)","1 of 4 (shortest to longest)","63.7%","31.2%","31.2%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-medium-15","Football","Medium","What does 'third and long' describe?","Third down with many yards still needed","A long field goal attempt","Third down with many yards still needed","The third quarter","A long kickoff return","A field-goal attempt taken from an unusually great distance","Third down with many yards still needed","The final possession played before the third quarter comes to an end","A kickoff carried a long distance before the returner is tackled","3","25/39/17/21","59/39/68/64","4 (longest)","1 of 4 (shortest to longest)","49.0%","36.5%","36.5%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-medium-28","Football","Medium","What is a 'blitz'?","Sending extra rushers at the quarterback","A long touchdown pass","Sending extra rushers at the quarterback","A no-huddle offense","A quick kick","A long touchdown pass","Sending extra rushers at the quarterback","An offense beginning each play without gathering in a huddle","A surprise punt attempted before the defense expects the kick","2","21/40/19/12","21/40/60/61","4 (longest)","2 of 4 (shortest to longest)","49.0%","36.5%","36.5%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
"football-medium-36","Football","Medium","What is a touchback?","A dead ball awarded to the receiving team at a rules-designated spot","A dead ball awarded to the receiving team at a rules-designated spot","A defensive touchdown","A punt returned to the kicking team","A pass caught behind the quarterback","A dead ball awarded to the receiving team at a rules-designated spot","A defensive player recovering the ball and carrying it into the end zone","A punt controlled by a player from the team that originally kicked it","A completed pass caught by a receiver positioned behind the quarterback","3","68/21/35/36","68/72/69/71","4 (longest)","1 of 4 (shortest to longest)","49.0%","36.5%","36.5%","Tier exceeded 40% pick-longest accuracy; highest-gap rows selected first.","Proposed only — not applied to question source","Keyed answer unchanged. One to three distractors were expanded so correct-answer length ranks balance across the tier; human content approval required."
